Customer ID,Customer Name,Office Name,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,OFFER RECC,Email Address,Sent,F/U Sent
101,zach turner,dfw,,,,,,,,,,Offer FPCO,kalebskeltonupload@gmail.com,Sent,Follow-Up Sent
328,EVERGREEN AT FARMERS BRANCH,Ecoteam DFW,,,,,,,,,,Offer FPCO,kcook@evergreenfb.com,Sent,Follow-Up Sent
329,EVERGREEN MORNING STAR,Ecoteam DFW,,,,,,,,,,Offer FPCO,abriscoe@evergreenmorningstar.com,Sent,Follow-Up Sent
369,PROVIDENCE ESTATES TH,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,providenceestates@rpmliving.com,Sent,Follow-Up Sent
370,REDLAND,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,redland.mgr@adaracommunities.com,Sent,Follow-Up Sent
372,JOSEPH AT HUEBNER,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,josephathuebner@rpmliving.com,Sent,Follow-Up Sent
379,DOMINION PARK,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,hello@dominion-park.com,Sent,Follow-Up Sent
380,BUNGALOW 09,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,bungalowmanager@cirantamanagement.com,Sent,Follow-Up Sent
386,ARCHER STONE CANYON,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,archerstonemgr@greystar.com,Sent,Follow-Up Sent
387,OXFORD MEDICAL CENTER,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,medicalcentermgr@oxfordmanagement.com,Sent,Follow-Up Sent
388,STERLING AT OAK HILLS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,thesterlingleasing@kairoi.com,Sent,Follow-Up Sent
389,LAKEVIEW VILLAS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,lakeviewvillasmgr@greystar.com,Sent,Follow-Up Sent
390,ESTRAYA WESTOVER HILLS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,elmorales@wmapts.com,Sent,Follow-Up Sent
391,DALIAN 151,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,dalian151@greystar.com,Sent,Follow-Up Sent
392,TRAILSIDE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,trailside.pm@cafmanagement.com,Sent,Follow-Up Sent
395,MOSAIC ON BROADWAY,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,MANAGER@THEMOSAICONBROADW.com,Sent,Follow-Up Sent
396,BIRWOOD HEIGHTS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,birwoodheightsmgr@valiantresidential.com,Sent,Follow-Up Sent
398,BERKSHIRE AT THE RIM,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,THERIM@BERKSHIRERESI.COM,Sent,Follow-Up Sent
